name,url,country,revision_id,quality_score
Mohamud Siraji,https://en.wikipedia.org/wiki/Mohamud_Siraji,Somalia,1232856605,C
Hawo Tako,https://en.wikipedia.org/wiki/Hawo_Tako,Somalia,1244646660,Stub
Khalif Mumin Tohow,https://en.wikipedia.org/wiki/Khalif_Mumin_Tohow,Somalia,1171423321,Start
Omar Ismail Waberi,https://en.wikipedia.org/wiki/Omar_Ismail_Waberi,Somalia,1140507231,Stub
Deeq Sulaiman Yusuf,https://en.wikipedia.org/wiki/Deeq_Sulaiman_Yusuf,Somalia,977166270,Start
Abdilahi Husein Iman Darawal,https://en.wikipedia.org/wiki/Abdilahi_Husein_Iman_Darawal,Somalia,1171760173,Stub
Abdirahim Ali Ismail,https://en.wikipedia.org/wiki/Abdirahim_Ali_Ismail,Somalia,1189471410,Stub
Mohamed Yusuf Abdirahman,https://en.wikipedia.org/wiki/Mohamed_Yusuf_Abdirahman,Somalia,1056374599,Stub
Abdullahi Abdi Omar,https://en.wikipedia.org/wiki/Abdullahi_Abdi_Omar,Somalia,1167729311,Stub
Ahmed Aw Dahir,https://en.wikipedia.org/wiki/Ahmed_Aw_Dahir,Somalia,1062918876,Start
Mohammed Ahmed Alin,https://en.wikipedia.org/wiki/Mohammed_Ahmed_Alin,Somalia,1163226753,Stub
Buurmadow,https://en.wikipedia.org/wiki/Buurmadow,Somalia,1249135870,Start
Mohamed Abdi Dhinbil,https://en.wikipedia.org/wiki/Mohamed_Abdi_Dhinbil,Somalia,1186067971,Stub
Abdikarim Adan Haji Diriye,https://en.wikipedia.org/wiki/Abdikarim_Adan_Haji_Diriye,Somalia,1211158919,Stub
Ahmed Mohamed Gulaid,https://en.wikipedia.org/wiki/Ahmed_Mohamed_Gulaid,Somalia,1250852543,Stub
Dayib Gurey,https://en.wikipedia.org/wiki/Dayib_Gurey,Somalia,1230707703,Stub
Suleiman Hassan Haddi,https://en.wikipedia.org/wiki/Suleiman_Hassan_Haddi,Somalia,1080321751,Stub
Abdiaziz Hussein Hassan,https://en.wikipedia.org/wiki/Abdiaziz_Hussein_Hassan,Somalia,1050666572,Stub
Hersi Ali Haji Hassan,https://en.wikipedia.org/wiki/Hersi_Ali_Haji_Hassan,Somalia,1246274637,Start
Abdiqani Mohamoud Jidhe,https://en.wikipedia.org/wiki/Abdiqani_Mohamoud_Jidhe,Somalia,1249819942,Stub
Mohamed Hussein Jama,https://en.wikipedia.org/wiki/Mohamed_Hussein_Jama,Somalia,1187600994,Stub
Nafisat Yusuf Mohammed,https://en.wikipedia.org/wiki/Nafisat_Yusuf_Mohammed,Somalia,1013484175,Start
Ismail Haji Nour,https://en.wikipedia.org/wiki/Ismail_Haji_Nour,Somalia,1243384984,Stub
Osman Saleban Jama,https://en.wikipedia.org/wiki/Osman_Saleban_Jama,Somalia,1073933365,Start
Jibrell Ali Salad,https://en.wikipedia.org/wiki/Jibrell_Ali_Salad,Somalia,1086444472,Start
Faysal Ali Warabe,https://en.wikipedia.org/wiki/Faysal_Ali_Warabe,Somalia,1245565775,C
Dulton Adams,https://en.wikipedia.org/wiki/Dulton_Adams,South Africa,1159756311,Stub
Bongani Baloyi,https://en.wikipedia.org/wiki/Bongani_Baloyi,South Africa,1244353459,C
Japie Basson,https://en.wikipedia.org/wiki/Japie_Basson,South Africa,1216786719,Start
Christiaan Frederik Beyers,https://en.wikipedia.org/wiki/Christiaan_Frederik_Beyers,South Africa,1246853229,GA
Bongani Bongo,https://en.wikipedia.org/wiki/Bongani_Bongo,South Africa,1241954393,C
Shaun Byneveldt,https://en.wikipedia.org/wiki/Shaun_Byneveldt,South Africa,1226295703,Stub
Marshall Campbell,https://en.wikipedia.org/wiki/Marshall_Campbell,South Africa,1245674826,Start
Badih Chaaban,https://en.wikipedia.org/wiki/Badih_Chaaban,South Africa,1227519178,Start
Geoffrey Cronjé,https://en.wikipedia.org/wiki/Geoffrey_Cronjé,South Africa,1243421353,Stub
Rowan Cronjé,https://en.wikipedia.org/wiki/Rowan_Cronjé,South Africa,1248935419,C
David Dichaba,https://en.wikipedia.org/wiki/David_Dichaba,South Africa,1174702820,Stub
Cathy Dlamini,https://en.wikipedia.org/wiki/Cathy_Dlamini,South Africa,1235566176,Start
